GeneSet,Description,Gene
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,DHODH
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,ETFA
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,ETFB
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,ETFBKMT
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,ETFDH
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,ETFRF1
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,GPD2
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,PRODH
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,PRODH2
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,SQOR
Vitamin_B6_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B6_metabolism,PLPBP
Vitamin_B6_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B6_metabolism,PNPO
Complex_V,OXPHOS.Complex_V,ATP5F1A
Complex_V,OXPHOS.Complex_V,ATP5F1B
Complex_V,OXPHOS.Complex_V,ATP5F1C
Complex_V,OXPHOS.Complex_V,ATP5F1D
Complex_V,OXPHOS.Complex_V,ATP5F1E
Complex_V,OXPHOS.Complex_V,ATP5IF1
Complex_V,OXPHOS.Complex_V,ATP5MC1
Complex_V,OXPHOS.Complex_V,ATP5MC2
Complex_V,OXPHOS.Complex_V,ATP5MC3
Complex_V,OXPHOS.Complex_V,ATP5MD
Complex_V,OXPHOS.Complex_V,ATP5ME
Complex_V,OXPHOS.Complex_V,ATP5MF
Complex_V,OXPHOS.Complex_V,ATP5MG
Complex_V,OXPHOS.Complex_V,ATP5MPL
Complex_V,OXPHOS.Complex_V,ATP5PB
Complex_V,OXPHOS.Complex_V,ATP5PD
Complex_V,OXPHOS.Complex_V,ATP5PF
Complex_V,OXPHOS.Complex_V,ATP5PO
Complex_V,OXPHOS.Complex_V,ATPAF1
Complex_V,OXPHOS.Complex_V,ATPAF2
Complex_V,OXPHOS.Complex_V,ATPSCKMT
Complex_V,OXPHOS.Complex_V,DMAC2L
Complex_V,OXPHOS.Complex_V,FMC1
Complex_V,OXPHOS.Complex_V,MT-ATP6
Complex_V,OXPHOS.Complex_V,MT-ATP8
Complex_V,OXPHOS.Complex_V,TMEM70
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ACAD8
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ACADSB
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ACAT1
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ALDH6A1
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,AUH
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,BCAT2
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,BCKDHA
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,BCKDHB
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,BCKDK
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,DBT
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,DLD
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ECHS1
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ETFA
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ETFB
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,ETFDH
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,HADHA
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,HIBADH
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,HIBCH
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,HMGCL
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,HSD17B10
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,IVD
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,MCCC1
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,MCCC2
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,PPM1K
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,SLC25A44
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AADAT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AASS
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ABAT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ACAA2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ACAD8
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ACADSB
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ACAT1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ADHFE1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AGMAT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AGXT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AGXT2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AKR7A2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ALDH18A1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ALDH4A1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ALDH5A1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ALDH6A1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ALDH7A1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ALDH9A1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AMT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ARG2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,AUH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,BCAT2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,BCKDHA
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,BCKDHB
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,BCKDK
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,CA5A
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,CA5B
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,CHDH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,COMT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,CPS1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,DBT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,DGLUCY
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,DHTKD1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,DLD
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,DLST
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,DMGDH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ECHS1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ETFA
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ETFB
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,ETFDH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GCAT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GCDH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GCSH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GLDC
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GLS
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GLS2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GLUD1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GLUD2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GLYAT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GOT2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GPT2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,GRHPR
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HADH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HADHA
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HADHB
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HIBADH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HIBCH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HMGCL
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HOGA1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,HSD17B10
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,IVD
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,KMO
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,KYAT3
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,LDHB
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,MAOA
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,MAOB
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,MCCC1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,MCCC2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,NAGS
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,NAT8L
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,OAT
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,OTC
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,PPM1K
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,PRODH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,PRODH2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,PYCR1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,PYCR2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SARDH
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SDSL
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SFXN1
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SFXN3
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SHMT2
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SLC25A12
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SLC25A13
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SLC25A15
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SLC25A21
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SLC25A29
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SLC25A38
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SLC25A44
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,SUGCT
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,ABHD10
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,ACSM2A
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,ACSM5
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,AKR1B10
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,AKR7A2
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,ALDH1B1
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,ALDH2
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,BPHL
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,CBR3
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,CYB5B
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,CYB5R3
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,DHRS2
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,EPHX2
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,GLYAT
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,GSTK1
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,GSTZ1
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,MAOA
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,MAOB
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,MGST1
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,MPST
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,MTARC1
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,MTARC2
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,TST
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5F1A
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5F1B
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5F1C
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5F1D
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5F1E
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5IF1
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5MC1
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5MC2
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5MC3
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5MD
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5ME
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5MF
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5MG
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5MPL
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5PB
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5PD
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5PF
CV_subunits,OXPHOS.Complex_V.CV_subunits,ATP5PO
CV_subunits,OXPHOS.Complex_V.CV_subunits,DMAC2L
CV_subunits,OXPHOS.Complex_V.CV_subunits,MT-ATP6
CV_subunits,OXPHOS.Complex_V.CV_subunits,MT-ATP8
Calcium_uniporter,Small_molecule_transport.Calcium_uniporter,MCU
Calcium_uniporter,Small_molecule_transport.Calcium_uniporter,MCUB
Calcium_uniporter,Small_molecule_transport.Calcium_uniporter,MICU1
Calcium_uniporter,Small_molecule_transport.Calcium_uniporter,MICU2
Calcium_uniporter,Small_molecule_transport.Calcium_uniporter,MICU3
Calcium_uniporter,Small_molecule_transport.Calcium_uniporter,SMDT1
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ10A
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ10B
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ2
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ3
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ4
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ5
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ6
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ7
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ8A
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ8B
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,COQ9
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,PDSS1
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,PDSS2
Complex_I,OXPHOS.Complex_I,ACAD9
Complex_I,OXPHOS.Complex_I,AIFM1
Complex_I,OXPHOS.Complex_I,COA1
Complex_I,OXPHOS.Complex_I,DMAC1
Complex_I,OXPHOS.Complex_I,DMAC2
Complex_I,OXPHOS.Complex_I,ECSIT
Complex_I,OXPHOS.Complex_I,FOXRED1
Complex_I,OXPHOS.Complex_I,LYRM2
Complex_I,OXPHOS.Complex_I,MT-ND1
Complex_I,OXPHOS.Complex_I,MT-ND2
Complex_I,OXPHOS.Complex_I,MT-ND3
Complex_I,OXPHOS.Complex_I,MT-ND4
Complex_I,OXPHOS.Complex_I,MT-ND4L
Complex_I,OXPHOS.Complex_I,MT-ND5
Complex_I,OXPHOS.Complex_I,MT-ND6
Complex_I,OXPHOS.Complex_I,NDUFA1
Complex_I,OXPHOS.Complex_I,NDUFA10
Complex_I,OXPHOS.Complex_I,NDUFA11
Complex_I,OXPHOS.Complex_I,NDUFA12
Complex_I,OXPHOS.Complex_I,NDUFA13
Complex_I,OXPHOS.Complex_I,NDUFA2
Complex_I,OXPHOS.Complex_I,NDUFA3
Complex_I,OXPHOS.Complex_I,NDUFA5
Complex_I,OXPHOS.Complex_I,NDUFA6
Complex_I,OXPHOS.Complex_I,NDUFA7
Complex_I,OXPHOS.Complex_I,NDUFA8
Complex_I,OXPHOS.Complex_I,NDUFA9
Complex_I,OXPHOS.Complex_I,NDUFAB1
Complex_I,OXPHOS.Complex_I,NDUFAF1
Complex_I,OXPHOS.Complex_I,NDUFAF2
Complex_I,OXPHOS.Complex_I,NDUFAF3
Complex_I,OXPHOS.Complex_I,NDUFAF4
Complex_I,OXPHOS.Complex_I,NDUFAF5
Complex_I,OXPHOS.Complex_I,NDUFAF6
Complex_I,OXPHOS.Complex_I,NDUFAF7
Complex_I,OXPHOS.Complex_I,NDUFAF8
Complex_I,OXPHOS.Complex_I,NDUFB1
Complex_I,OXPHOS.Complex_I,NDUFB10
Complex_I,OXPHOS.Complex_I,NDUFB11
Complex_I,OXPHOS.Complex_I,NDUFB2
Complex_I,OXPHOS.Complex_I,NDUFB3
Complex_I,OXPHOS.Complex_I,NDUFB4
Complex_I,OXPHOS.Complex_I,NDUFB5
Complex_I,OXPHOS.Complex_I,NDUFB6
Complex_I,OXPHOS.Complex_I,NDUFB7
Complex_I,OXPHOS.Complex_I,NDUFB8
Complex_I,OXPHOS.Complex_I,NDUFB9
Complex_I,OXPHOS.Complex_I,NDUFC1
Complex_I,OXPHOS.Complex_I,NDUFC2
Complex_I,OXPHOS.Complex_I,NDUFS1
Complex_I,OXPHOS.Complex_I,NDUFS2
Complex_I,OXPHOS.Complex_I,NDUFS3
Complex_I,OXPHOS.Complex_I,NDUFS4
Complex_I,OXPHOS.Complex_I,NDUFS5
Complex_I,OXPHOS.Complex_I,NDUFS6
Complex_I,OXPHOS.Complex_I,NDUFS7
Complex_I,OXPHOS.Complex_I,NDUFS8
Complex_I,OXPHOS.Complex_I,NDUFV1
Complex_I,OXPHOS.Complex_I,NDUFV2
Complex_I,OXPHOS.Complex_I,NDUFV3
Complex_I,OXPHOS.Complex_I,NUBPL
Complex_I,OXPHOS.Complex_I,TIMMDC1
Complex_I,OXPHOS.Complex_I,TMEM126A
Complex_I,OXPHOS.Complex_I,TMEM126B
Complex_I,OXPHOS.Complex_I,TMEM186
Complex_I,OXPHOS.Complex_I,TMEM70
Serine_metabolism,Metabolism.Amino_acid_metabolism.Serine_metabolism,AGXT
Serine_metabolism,Metabolism.Amino_acid_metabolism.Serine_metabolism,SDSL
Serine_metabolism,Metabolism.Amino_acid_metabolism.Serine_metabolism,SFXN1
Serine_metabolism,Metabolism.Amino_acid_metabolism.Serine_metabolism,SFXN3
Serine_metabolism,Metabolism.Amino_acid_metabolism.Serine_metabolism,SHMT2
Calcium_homeostasis,Signaling.Calcium_homeostasis,EFHD1
Calcium_homeostasis,Signaling.Calcium_homeostasis,LETM1
Calcium_homeostasis,Signaling.Calcium_homeostasis,MCU
Calcium_homeostasis,Signaling.Calcium_homeostasis,MCUB
Calcium_homeostasis,Signaling.Calcium_homeostasis,MICU1
Calcium_homeostasis,Signaling.Calcium_homeostasis,MICU2
Calcium_homeostasis,Signaling.Calcium_homeostasis,MICU3
Calcium_homeostasis,Signaling.Calcium_homeostasis,PPIF
Calcium_homeostasis,Signaling.Calcium_homeostasis,RHOT1
Calcium_homeostasis,Signaling.Calcium_homeostasis,RHOT2
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A12
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A13
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A23
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A24
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A25
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A3
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A31
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A4
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A5
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC25A6
Calcium_homeostasis,Signaling.Calcium_homeostasis,SLC8B1
Calcium_homeostasis,Signaling.Calcium_homeostasis,SMDT1
Calcium_homeostasis,Signaling.Calcium_homeostasis,VDAC1
Calcium_homeostasis,Signaling.Calcium_homeostasis,VDAC3
Coenzyme_A_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_A_metabolism,COASY
Coenzyme_A_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_A_metabolism,NUDT19
Coenzyme_A_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_A_metabolism,NUDT8
Coenzyme_A_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_A_metabolism,PANK2
Coenzyme_A_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_A_metabolism,SLC25A42
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,C12orf65
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,COA3
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,COX14
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,GFM1
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,GFM2
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,HEMK1
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,MRPL58
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,MRRF
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,MTIF2
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,MTIF3
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,MTRF1
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,MTRF1L
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,TACO1
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,TIMM21
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,TSFM
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,TUFM
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,ACO2
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,CS
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,DLD
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,DLST
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,FH
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,IDH2
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,IDH3A
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,IDH3B
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,IDH3G
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,MDH2
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,MRPS36
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,OGDH
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,OGDHL
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,SDHA
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,SDHB
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,SDHC
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,SDHD
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,SUCLA2
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,SUCLG1
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,SUCLG2
Respirasome_assembly,OXPHOS.Respirasome_assembly,COX7A2L
Respirasome_assembly,OXPHOS.Respirasome_assembly,HIGD1A
Respirasome_assembly,OXPHOS.Respirasome_assembly,HIGD2A
Respirasome_assembly,OXPHOS.Respirasome_assembly,RAB5IF
OXPHOS,OXPHOS,ACAD9
OXPHOS,OXPHOS,AIFM1
OXPHOS,OXPHOS,ATP5F1A
OXPHOS,OXPHOS,ATP5F1B
OXPHOS,OXPHOS,ATP5F1C
OXPHOS,OXPHOS,ATP5F1D
OXPHOS,OXPHOS,ATP5F1E
OXPHOS,OXPHOS,ATP5IF1
OXPHOS,OXPHOS,ATP5MC1
OXPHOS,OXPHOS,ATP5MC2
OXPHOS,OXPHOS,ATP5MC3
OXPHOS,OXPHOS,ATP5MD
OXPHOS,OXPHOS,ATP5ME
OXPHOS,OXPHOS,ATP5MF
OXPHOS,OXPHOS,ATP5MG
OXPHOS,OXPHOS,ATP5MPL
OXPHOS,OXPHOS,ATP5PB
OXPHOS,OXPHOS,ATP5PD
OXPHOS,OXPHOS,ATP5PF
OXPHOS,OXPHOS,ATP5PO
OXPHOS,OXPHOS,ATPAF1
OXPHOS,OXPHOS,ATPAF2
OXPHOS,OXPHOS,ATPSCKMT
OXPHOS,OXPHOS,BCS1L
OXPHOS,OXPHOS,CEP89
OXPHOS,OXPHOS,CMC1
OXPHOS,OXPHOS,CMC2
OXPHOS,OXPHOS,COA1
OXPHOS,OXPHOS,COA3
OXPHOS,OXPHOS,COA4
OXPHOS,OXPHOS,COA5
OXPHOS,OXPHOS,COA6
OXPHOS,OXPHOS,COA7
OXPHOS,OXPHOS,COA8
OXPHOS,OXPHOS,COX10
OXPHOS,OXPHOS,COX11
OXPHOS,OXPHOS,COX14
OXPHOS,OXPHOS,COX15
OXPHOS,OXPHOS,COX16
OXPHOS,OXPHOS,COX17
OXPHOS,OXPHOS,COX18
OXPHOS,OXPHOS,COX19
OXPHOS,OXPHOS,COX20
OXPHOS,OXPHOS,COX4I1
OXPHOS,OXPHOS,COX4I2
